№;Название объекта культурного наследия;Координата, X;Координата, Y;Адрес
1424;Службы;113004.69;95039.01;"Менделеевская линия, 3; Биржевой проезд, 1, 2"
1425;Флигель хозяйственный;112955.92;95034.16;"Менделеевская линия, 3; Биржевой проезд, 1, 2"
1426;Сад во внутреннем дворе;112890.37;95043.00;"Менделеевская линия, 3; Биржевой проезд, 1, 2"
1427;Сад угловой;112910.00;94942.09;"Менделеевская линия, 3; Биржевой проезд, 1, 2"
1428;Палисадники (четыре);112884.48;95088.84;"Менделеевская линия, 3; Биржевой проезд, 1, 2"
1429;Фонари (четырнадцать);112950.61;95019.28;"Менделеевская линия, 3; Биржевой проезд, 1, 2"
1430;Ограда с семью воротами и тремя калитками;112844.05;94976.17;"Менделеевская линия, 3; Биржевой проезд, 1, 2"
1431;Родильные павильоны 1-й, 2-й, 3-й;112950.61;95019.28;"Менделеевская линия, 3; Биржевой проезд, 1, 2"
1432;Фонтаны (два);112950.61;95019.28;"Менделеевская линия, 3; Биржевой проезд, 1, 2"
1433;Гостиный двор Новобиржевой;112797.90;95151.76;Менделеевская линия, 5
1434;Петроградская узловая железнодорожная больница (комплекс с территорией, парком и оградой);118862.64;100081.24;Мечникова пр., 27
1435;Главный корпус с цандеровским флигелем, конференц-залом и кухонным флигелем;118855.70;100040.54;Мечникова пр., 27
1436;Дом главного врача (первого главного врача больницы Ващенко);118770.26;99958.43;Мечникова пр., 27
1437;Жилой дом для служащих;119092.52;100245.01;Мечникова пр., 27
1438;Корпус у ж.-д. путей;119207.71;100238.98;Мечникова пр., 27
1439;Часовня с прозекторской;118870.81;99918.55;Мечникова пр., 27
1440;Парк;118882.94;100103.74;Мечникова пр., 27
1441;Три павильона инфекционного отделения;118966.80;100219.43;Мечникова пр., 27
1442;Дом Штакеншнейдера;114201.38;95080.81;"Миллионная ул., 10 (б. ул. Халтурина); Мойки р. наб., 9"
1443;Особняк А.П. Гагариной (дом Н.П. Жеребцовой);114201.05;95234.35;Миллионная ул., 11, лит. А
1444;Особняк Гинцбург;114145.67;95048.55;"Миллионная ул., 14 (б. ул. Халтурина); Мойки р. наб., 13"
1445;Дом Чернышева А.И. (Барятинских);114063.74;95099.42;"Миллионная ул., 21; Мошков пер., 6"
1446;Дом жилой;114040.36;95004.63;Миллионная ул., 22
1447;Дом Апраксина Ф.А. (Абамелек-Лазарева С.С.);114046.57;94987.11;"Миллионная ул., 22; Мойки р. наб., 21"
1448;Дом жилой;114010.72;94986.66;Миллионная ул., 24
1449;Дом Макарова А.В. (Абамелек-Лазарева С.С.);114015.63;94977.15;"Миллионная ул., 24; Мойки р. наб., 23"
1450;Дом Г.А. Меньшикова (Запасный дом дворца вел. кн. Владимира Александровича);113920.93;95076.59;Миллионная ул., 29, лит. А
1451;Здание казарм Первого батальона  лейб-гвардии Преображенского полка;113872.78;94963.89;Миллионная ул., 33, лит. А
1452;Архив Государственного Совета;113870.88;94856.05;"Миллионная ул., 36; Зимней канавки наб., 3"
1453;Жилой дом штаба Гвардейского корпуса;113809.02;94806.41;Миллионная ул., 38, лит. А
1454;Главная аптека;114275.35;95174.96;"Миллионная ул., 4; Аптекарский пер., 1"
1455;Ограда (две);114365.15;95375.00;"Миллионная ул., 5; Дворцовая наб., 6"
1456;Сад;114382.26;95340.81;"Миллионная ул., 5; Дворцовая наб., 6"
1457;"Статуя фонтанная ""Путто с веткой""";114384.10;95347.28;"Миллионная ул., 5; Дворцовая наб., 6"
1458;Мраморный дворец;114349.74;95336.89;"Миллионная ул., 5; Дворцовая наб., 6; Мраморный пер.; Суворовская пл."
1459;Дворец;114323.94;95313.57;"Миллионная ул., 5; Дворцовая наб., 6; Мраморный пер.; Суворовская пл."
1460;Корпус служебный;114415.76;95356.44;"Миллионная ул., 5; Дворцовая наб., 6; Суворовская пл."
1461;Конюшенный двор с домом для прислуги при дворце вел. кн. Михаила Николаевича;114215.38;95145.57;Миллионная ул., 6, лит. А
1462;Главное здание Конюшенного двора;114214.31;95147.29;Миллионная ул., 6, лит. А
1463;Дом для прислуги;114294.40;95038.86;Миллионная ул., 6, лит. А
1464;Дом жилой (с дворовыми флигелями);114261.36;95246.78;Миллионная ул., 7
1465;Дом Д.С. Бортнянского, в котором композитор жил в 1797-1825 годах;114246.04;95222.40;Миллионная ул., 9, лит.А
1466;Костел св. Марии на Выборгском римско-католическом кладбище с территорией;116684.67;97677.56;Минеральная ул., 23
1467;Ворота;116913.59;93054.47;Миргородская ул., 3, без лит.
1468;Административный корпус с приемным покоем;117112.28;92902.90;Миргородская ул., 3, лит. А
1469;Комплекс Александровской барачной больницы (больницы им. С.П. Боткина);117013.16;92872.05;Миргородская ул., 3, лит. А, В, Г, Д, Е, Ж, З, С, У, Щ, Ю, Я
1470;Жилой дом для персонала;117099.75;92818.83;Миргородская ул., 3, лит. В
1471;Изолятор;117037.83;92819.15;Миргородская ул., 3, лит. Г
1472;Три павильона летучих инфекций (детский и два взрослых);116931.00;92954.03;Миргородская ул., 3, лит. Е, Д, С
1473;Изолятор;117048.91;92758.72;Миргородская ул., 3, лит. Ж
1474;Хирургический корпус;117062.35;92680.40;Миргородская ул., 3, лит. З
1475;Одноэтажный лечебный корпус;117067.38;92618.36;Миргородская ул., 3, лит. У
1476;Одноэтажный лечебный корпус;116990.52;92604.16;Миргородская ул., 3, лит. Щ
1477;Прозекторская;116955.43;92675.83;Миргородская ул., 3, лит. Ю
1478;Аптека и лаборатория;116970.27;92716.50;Миргородская ул., 3, лит. Я
1479;Дом причта;112860.68;90160.41;Митрофаньевское шоссе, д.10
1480;Церковный дом;112869.56;90359.92;Митрофаньевское шоссе, д.4
1481;Митрофаниевское кладбище (православное и лютеранское) с территорией и зданиями;112868.37;90274.03;Митрофаньевское шоссе, д.4, 6, 8, 10, 16 (Митрофаньевское шоссе, д.4-6-8 лит. А, 8а лит. Б, 8а лит. В, 10 лит. А)
1482;Здание церковно-приходской школы;112867.23;90302.72;Митрофаньевское шоссе, д.6
1483;Дом причта;112864.35;90238.38;Митрофаньевское шоссе, д.8
1484;Мост;114828.68;94612.97;Михайловский сад
1485;Жилой дом;114723.41;96306.73;Мичуринская ул., 1, лит. А
1486;Пожарное отделение и полицейское управление Петровской части;114536.76;96406.42;"Мичуринская ул., 5; Пеньковая ул., 6"
1487;Главное здание с каланчой, учебной башней, служебным корпусом, оградой и двумя воротами;114528.51;96398.15;"Мичуринская ул., 5; Пеньковая ул., 6"
1488;Тяговая подстанция «Клинская» (№ 15) – первая давшая ток 7 марта 1942 года для блокадного трамвая;114387.66;92028.77;Можайская ул., д. 19, литера А
1489;Особняк;113984.42;94817.86;Мойки наб. р., 16, лит. А
1490;Особняк и дом Жадимировских (Н.Е. Демидовой);114075.20;94776.30;"Мойки наб. р., 16, лит. А; Большая Конюшенная ул., 7, лит. А"
1491;Ограда;114897.35;94949.47;Мойки р. наб.
1492;"Ансамбль ""Новая Голландия""";112310.38;93561.90;"Мойки р. наб., 103; Крюкова канала наб., 1, корп. 1, 8, 12, 16, 17; Адмиралтейского канала наб., 4-а, 4-б"
1493;"Тюрьма (""Арестантская башня"")";112158.06;93562.03;"Мойки р. наб., 103; Крюкова канала наб., 1, корп. 1, 8, 12, 16, 17; Адмиралтейского канала наб., 4-а, 4-б"
1494;Ковш и внутренние каналы;112327.19;93546.12;"Мойки р. наб., 103; Крюкова канала наб., 1, корп. 1, 8, 12, 16, 17; Адмиралтейского канала наб., 4-а, 4-б"
1495;Кузница;112215.79;93556.44;"Мойки р. наб., 103; Крюкова канала наб., 1, корп. 1, 8, 12, 16, 17; Адмиралтейского канала наб., 4-а, 4-б"
1496;Склады лесные (три) с аркой;112393.03;93535.20;"Мойки р. наб., 103; Крюкова канала наб., 1, корп. 1, 8, 12, 16, 17; Адмиралтейского канала наб., 4-а, 4-б"
1497;Дом Воронцовой М.В. (дворец Великой княгини Ксении Александровны);112331.66;93335.92;Мойки р. наб., 106
1498;Дом жилой;112293.79;93297.67;Мойки р. наб., 106
1499;Ограда во дворе;112318.92;93328.28;Мойки р. наб., 106
1500;Ограда;112301.90;93373.35;Мойки р. наб., 106
1501;Палисадник;112338.87;93317.68;Мойки р. наб., 106
1502;Сад;112282.01;93320.85;Мойки р. наб., 106
1503;Флигели (три);112313.85;93276.45;Мойки р. наб., 106
1504;Демидовский дом призрения трудящихся;112212.15;93373.24;Мойки р. наб., 108
1505;Гимназия женская;112206.85;93399.86;Мойки р. наб., 108
1506;Главный дом с четырьмя флигелями;112200.25;93356.91;Мойки р. наб., 108
1507;Сад;112197.18;93342.43;Мойки р. наб., 108
1508;Доходный дом Шретера;112095.51;93440.26;Мойки р. наб., 112
1509;Особняк Шретера;112055.98;93451.55;"Мойки р. наб., 114; Писарева ул., 2"
1510;Дом Волконских;114032.96;94857.56;Мойки р. наб., 12
1511;Главный дом с флигелями. Здесь в 1836-1837 гг. жил поэт Пушкин А.С.;114024.86;94866.68;Мойки р. наб., 12
1512;Конюшня и каретный сарай;114053.89;94831.17;Мойки р. наб., 12
1513;Дом Баташовых со служебным флигелем;111972.68;93430.23;Мойки р. наб., 120
1514;Дворец;111923.15;93392.17;Мойки р. наб., 122
1515;Ограда;111911.70;93441.02;"Мойки р. наб., 122; Английский пр., 2"
1516;Дворец Великого князя Алексея Александровича;111880.68;93404.66;"Мойки р. наб., 122; Английский пр., 2; Писарева ул."
1517;Главное здание (концертный зал с учебными флигелями);114002.71;94728.99;Мойки р. наб., 20
1518;Ограда;113948.07;94735.24;Мойки р. наб., 20
1519;Капелла Придворная певческая;113988.61;94731.53;"Мойки р. наб., 20; Большая Конюшенная ул., 11"
1520;Дом жилой;114057.21;94975.59;Мойки р. наб., 21
1521;Дом жилой;114027.29;94963.11;Мойки р. наб., 23
1522;Круглый рынок;114367.59;95016.20;Мойки р. наб., 3
1523;Дом П.Ф. Скрипицына;113960.15;94580.15;Мойки р. наб., 30, лит. А
1524;Типография Министерства внутренних дел;113983.01;94560.84;"Мойки р. наб., 32; Волынский пер., 2"
1525;Дом Аракчеева А.А.;113899.38;94821.16;"Мойки р. наб., 35; Зимней канавки наб., 5"
1526;Училище при реформатских церквях;113998.67;94477.19;Мойки р. наб., 38, лит. А
1527;Дом по наб. р. Мойки с флигелями;113985.69;94437.06;Мойки р. наб., 40
1528;Памятник педагогу Ушинскому К.Д.;113927.58;94134.62;Мойки р. наб., 48
1529;"Сад ""Старый""";114027.40;94100.78;Мойки р. наб., 48, за корп. 5
1530;Флигель аптекарский;113950.21;94204.70;Мойки р. наб., 48, корп. 10
1531;Флигель дамский;113869.18;94061.42;Мойки р. наб., 48, корп. 11
1532;Церковь Покрова Пресвятой Богородицы;113957.34;94055.36;Мойки р. наб., 48, корп. 4
1533;"Ограды ""Старого"" сада (две)";114087.00;94168.68;Мойки р. наб., 48, корп. 4, 6
1534;Дворец Разумовского К.Г. (Николаевский сиротский институт);113949.74;94114.08;Мойки р. наб., 48, корп. 5
1535;Корпус лазаретный;114034.67;94169.42;Мойки р. наб., 48, корп. 6
1536;Конюшни с флигелем;114055.89;94208.41;Мойки р. наб., 48, корп. 8
1537;Корпус прачечный;113989.88;94213.94;Мойки р. наб., 48, корп. 9
1538;Бани;114025.23;94215.82;Мойки р. наб., 48, корп. 9-а
1539;Ограда с воротами дворца Разумовского К.Г.;113904.40;94143.56;Мойки р. наб., 48, перед корп. 5
1540;Сад парадного двора дворца Разумовского К.Г.;113922.22;94135.56;Мойки р. наб., 48, перед корп. 5
1541;Воспитательный дом Императорский;113923.52;93974.54;"Мойки р. наб., 48-54; Гороховая ул., 18; Казанская ул., 3"
1542;"""Мамкин"" сад";113909.20;93949.93;Мойки р. наб., 50, за корп. 1, 2
1543;Корпус квартирный Воспитательного дома;113820.65;93991.56;Мойки р. наб., 50, корп. 12
1544;Дом Штегельмана Г.Х. (Александринский сиротский дом);113891.13;93988.07;Мойки р. наб., 50, корп. 2
1545;Ограда с воротами дома Штегельмана Г.Х.;113826.87;94026.82;Мойки р. наб., 50, корп. 2
1546;Корпус учебный Сиротского института;113970.20;93986.45;Мойки р. наб., 50, корп. 3
1547;Сад парадного двора дома Штегельмана Г.Х.;113854.41;94007.34;Мойки р. наб., 50, перед корп. 2
1548;Бюст государственного деятеля Бецкого И.И.;113818.18;93959.73;Мойки р. наб., 52
1549;Воспитательный дом;113850.38;93931.82;Мойки р. наб., 52, корп. 1
1550;Корпус грудных детей Воспитательного дома;113907.14;93882.04;Мойки р. наб., 52, корп. 1
1551;Корпус родовспомогательный Воспитательного дома;113791.11;93945.02;Мойки р. наб., 52, корп. 13
1552;Сад парадного двора Воспитательного дома;113817.77;93957.90;Мойки р. наб., 52, перед корп. 1
1553;Ограда с воротами Воспитательного дома;113783.96;93983.99;Мойки р. наб., 52, у корп. 1
1554;Сад при училище глухонемых;113787.28;93913.96;Мойки р. наб., 54, за корп. 20
1555;Училище глухонемых;113768.99;93892.63;"Мойки р. наб., 54, корп. 20; Гороховая ул., 18"
1556;Дом, где в 1912-1918 гг. жил основатель оркестра русских народных инструментов Андреев В.В.;113496.22;93814.11;"Мойки р. наб., 64; Гривцова пер., 1"
1557;Дом Кочубея П.А. (Военного ведомства);113717.94;94028.32;Мойки р. наб., 67
1558;Дом, где в первой половине XIX в. размещалась Российско-Американская компания. Здесь в 1820-х гг. жили декабристы Бестужев-Марлинский А.А. и Рылеев К.Ф.;113237.96;93687.24;Мойки р. наб., 72
1559;"Здание Торгового дома ""Эсдерс и Схеффальс""";113633.72;93992.89;"Мойки р. наб., 73; Гороховая ул., 15"
1560;Дом Монферрана О. (Ратькова-Рожнова Я.В.) Здесь в 1836-1858 гг. жил архитектор Монферран О.;112922.87;93603.16;"Мойки р. наб., 86-88; Прачечный пер., 2"
1561;Дом И.Г. Чернышева (графа А.П. Шувалова) с флигелем, службами и оградой;112880.90;93602.79;"Мойки р. наб., 90; Прачечный пер., 1"
1562;Дворец с шестью флигелями;112834.00;93518.71;Мойки р. наб., 94
1563;Флигель;112824.55;93448.55;Мойки р. наб., 94
1564;Дворец Юсуповых;112804.42;93529.55;"Мойки р. наб., 94; Декабристов ул., 21"
1565;Доходный дом В.А. Шретера;112067.35;93405.64;Мойки р. наб., д. 112, лит. А
1566;Особняк Пущиных;114006.54;94836.51;Мойки р. наб., д. 14, лит. Б
1567;Особняк А.И. Эбелинг;113990.25;94960.32;Мойки р. наб., д. 25, лит. А
1568;Доходный дом С.Д.Башмакова;114026.50;94371.86;Мойки р. наб., д. 42, лит. А
1569;Пристань;114734.00;94849.00;Мойки р. наб., Михайловский сад
1570;Павильон садовый;114731.49;94835.25;Мойки р. наб., Михайловский сад
1571;"Статуя ""Аполлон""";91381.42;88319.50;Монплезирская аллея
1572;"Статуя ""Меркурий Капитолийский"" (""Антиной"")";91381.42;88319.50;Монплезирская аллея
1573;Мост;90371.47;88700.55;Морского Десанта ул., через овраг
1574;Памятник Ленину В.И.;114174.34;84951.88;Московская пл.
1575;Дом культуры им. Ильича завода “Электросила”;114078.64;88542.44;Московский  пр., 152, лит. А
1576;Монастырь Воскресенский Новодевичий;113993.76;90099.65;Московский пр., 100
1577;Больница;114111.91;90173.48;Московский пр., 100
1578;Дом для приходящих богомольцев;114099.09;90070.48;Московский пр., 100
1579;Корпус северный с церковью Трех Святителей Вселенских;114012.15;90187.36;Московский пр., 100
1580;Корпус южный с церковью Афонской Божией Матери;114040.11;90052.56;Московский пр., 100
1581;Собор Воскресенский;114015.24;90125.53;Московский пр., 100
1582;Церковь Казанская;114089.33;90128.38;Московский пр., 100
1583;Новодевичье кладбище;114278.15;89989.18;Московский пр., 100
1584;Ворота;114130.97;90130.61;Московский пр., 100
1585;Хозяйственные постройки (три);114100.75;90003.41;Московский пр., 100
1586;Кладбище;114281.85;90006.60;Московский пр., 100
1587;Заводоуправление Товарищества Петербургского вагоностроительного завода;113906.54;88989.05;Московский пр., 115, лит. А
1588;"Слесарно-сборная мастерская Петербургского товарищества вагоностроительного завода синдиката вагоностроительных заводов ""Продвагон""";113621.95;89144.24;Московский пр., 115, лит. В
1589;Здание малярной мастерской Санкт-Петербургского вагоностроительного завода;113626.63;89050.73;"Московский пр., 115; Заставская ул., 40"
1590;Парк Победы Московский;114116.22;86791.99;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1591;Каналы Восточный, Северный, Южный;114641.19;86963.57;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1592;Летний театр;114454.17;86987.81;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1593;Мемориальная зона бывшего кирпичного завода (крематория);114278.74;86494.49;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1594;Павильон на Флотской аллее (лодочная станция);114580.41;86595.12;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1595;Павильон Насосный;114144.72;86765.36;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1596;"Павильон ""Терраса"" (Молочный буфет)";114258.18;87104.65;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1597;"Павильон шахматно-шашечный (кинотеатр ""Глобус"")";114277.02;86589.92;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1598;Памятник Космодемьянской З.А., Герою Советского Союза;114211.65;86742.27;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1599;Памятник Дьен Р.;114126.50;86939.63;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1600;Памятник Матросову А.М., Герою Советского Союза;114164.56;86879.22;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1601;Парк;114488.15;86764.78;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1602;Подстанция трансформаторная;114813.78;87113.40;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1603;Постаменты для скульптур львов на Квадратных прудах (два), 1950-е гг.;114140.42;86662.77;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1604;Пропилеи;114056.89;86828.31;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1605;Пруд Адмиралтейский;114511.82;86491.92;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1606;Пруд Детский;114768.22;86601.61;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1607;Пруд Капитанский;114675.71;86590.31;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1608;Пруд Корабельный;114470.19;86622.07;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1609;Пруд Матросский;114798.82;86443.85;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1610;"Пруд ""Очки"" (два Квадратных пруда)";114149.07;86662.00;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1611;Пруд Пейзажный;114196.40;86936.78;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1612;Пруд Фигурный;114387.00;86939.91;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1613;Пруд Фонтанный;114294.42;86700.10;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1614;"Скульптура ""Братья по  оружию""";114383.64;86403.66;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1615;"Скульптура ""Мальчик с корабликом""";114305.56;86631.00;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1616;"Скульптура ""Мальчик с рыбкой""";114310.32;86636.51;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1617;"Скульптура ""Прием в пионеры""";114557.52;87072.81;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1618;"Скульптура ""Физкультурницы""";114340.46;86626.90;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1619;Спуски гранитные (четыре);114292.70;86776.56;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1620;"Фонтан ""Мальчик""";114145.06;86750.57;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1621;"Фонтан ""Слава""";114115.96;86821.65;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1622;Памятник Богданову С. И., дважды Герою Советского Союза;114216.84;86847.23;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1623;Памятник Голубеву В.М., дважды Герою Советского Союза;114216.84;86847.23;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1624;Памятник Осипову В.Н., дважды Герою Советского Союза;114216.84;86847.23;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1625;Памятник Ракову В.И., дважды Герою Советского Союза;114216.84;86847.23;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1626;Памятник Федорову Е.П., дважды Герою Советского Союза;114216.84;86847.23;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1627;Памятник Челнокову Н.В., дважды Герою Советского Союза;114216.84;86847.23;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1628;"Скульптура ""Тыл""";114275.56;86601.44;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1629;"Скульптура ""Фронт""";114275.56;86601.44;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1630;Мосты (одиннадцать);114746.73;86840.51;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
1631;Памятник химику Менделееву Д.И.;113817.09;92297.38;Московский пр., 19
1632;Дом, где в 1893-1907 гг. работал химик Менделеев Д.И.;113705.58;92244.89;Московский пр., 19, корп. 1
1633;Жилой дом палаты мер и весов. Здесь в 1897-1907 гг. жил и работал химик Менделеев Д.И.;113788.19;92285.12;Московский пр., 19, корп. 4
1634;Жилой дом Ленсовета;114103.40;85480.31;Московский пр., 206, лит. А
1635;Жилые дома Ленсовета (2 здания);114108.90;85424.59;Московский пр., 206, лит. А, 208, лит. А
1636;Жилой дом Ленсовета;114109.40;85330.20;Московский пр., 208, лит. А
1637;Дом Советов;114364.44;84958.49;Московский пр., 212
1638;Институт Технологический;113926.86;92302.37;"Московский пр., 26; Загородный пр., 49"
1639;Памятник деятелю российского и международного социал-демократического движения, философу Плеханову Г.В.;113888.79;92207.46;"Московский пр., 26; Загородный пр., 49"
1640;"Станция метро ""Технологический институт"" (с перронным залом)";113888.88;92106.48;Московский пр., 28, лит. А
1641;Здание Фрунзенского универмага;113963.72;91318.72;Московский пр., 60/129, литеры А, Б
1642;Дом подполковника Брюна с флигелями и сквером в 1-м дворе;113745.17;93041.33;Московский пр., 7
1643;Жилой дом;113811.76;90375.35;Московский пр., 79
1644;Дом Киселевской;113887.12;92995.88;Московский пр., 8
1645;Ночлежный дом в память А.Е.Прокофьева;113908.87;89856.95;Московский пр., 87, лит. А
1646;Институт инженеров путей сообщения;113792.08;92961.58;Московский пр., 9
1647;Комплекс построек акционерного общества “Просвещение” Н.С. Цетлина и А. Мейера;113714.33;89750.41;Московский пр., 93, лит. А, Б, В
1648;Здание школы;113958.73;90390.26;Московский пр., 96, лит. А, за исключением помещений 9-Н (6-12), 12-Н (8)
1649;Ворота триумфальные Московские;113947.25;89323.48;Московский пр., в створе Лиговского пр.
1650;ДОТ № 67 рубежа «Ижора»;114276.12;85039.52;Московский пр., возле д. 212
1651;ДОТ № 65 рубежа «Ижора»;114438.50;84906.91;Московский пр., возле д. 212
1652;Пожарное депо;114002.01;89274.48;Московский пр., д. 116, литера А
1653;Комплекс зданий Императорского военно-сиротского дома (Константиновского военного училища);113695.32;92433.83;Московский пр., д. 17, лит. А1, А3, А4, А5, А6, Б, Ж, З, К, М, Н1, Н2, Н3, Н4, Н5, Н6
1654;Главное здание;113796.62;92460.04;Московский пр., д. 17, лит. А1, А4, А5
1655;Служебно-хозяйственный корпус, служительские казармы;113678.95;92444.55;Московский пр., д. 17, лит. А3, А6
1656;Дом командного состава;113820.89;92355.30;Московский пр., д. 17, лит. Б
1657;Казарма;113810.12;92312.06;Московский пр., д. 17, лит. Ж
1658;Фуражный сарай;113642.01;92321.27;Московский пр., д. 17, лит. З
1659;Манеж;113635.70;92482.72;Московский пр., д. 17, лит. К
1660;Корпус для хранения орудий;113713.68;92299.50;Московский пр., д. 17, лит. М
1661;Манеж с конюшнями;113700.87;92358.77;Московский пр., д. 17, лит. Н
1662;Столб верстовой;113856.63;91588.79;Московский пр., на углу 7-ой Красноармейской ул.
1663;Столб верстовой;113921.66;89480.91;Московский пр., на углу Ташкентской ул.
1664;Столб верстовой;113824.71;92593.57;Московский пр., у Обуховского моста
1665;Дом Вольного экономического общества;113788.04;91852.24;"Московский просп., 33; 4-я Красноармейская ул., 1"
1666;Главный корпус;113818.97;91855.57;"Московский просп., 33; 4-я Красноармейская ул., 1"
1667;Флигель;113783.52;91843.76;"Московский просп., 33; 4-я Красноармейская ул., 1"
1668;Ограда;113851.91;91847.25;"Московский просп., 33; 4-я Красноармейская ул., 1"
1669;Сад;113841.22;91855.09;"Московский просп., 33; 4-я Красноармейская ул., 1"
1670;Скотопригонный двор;113844.89;91078.71;Московский просп., 65
1671;Главный корпус;113849.90;91099.41;Московский просп., 65
1672;Ограда с воротами;113858.79;91112.14;Московский просп., 65
1673;Флигели (два);113848.35;91140.92;Московский просп., 65
1674;Здания Общества торговцев рыбного рынка;113892.46;92925.12;Московский проспект, дом 10-12, литеры А, Б, В, Г, Д, М
1675;Скульптуры быков (две);115551.05;82323.66;Московское шоссе, 13
1676;Памятник государственному деятелю Кирову С.М.;115476.59;82313.47;Московское шоссе, 13
1677;Особняк Штифтер;115325.20;95189.32;Моховая ул., 15
1678;Дом, в котором жили: Глинка Михаил Иванович в 1851 г. и более 20 лет (начиная с 1854 г.) Стасов Владимир Васильевич;115419.30;94966.85;Моховая ул., 26, кв.12 и флигель
1679;"Жилой дом Страхового общества ""Россия"" с садом и оградами";115308.96;94940.04;Моховая ул., 27-29
1680;Дом, где в 1857-1891 гг. жил писатель Гончаров И.А.;115305.08;95365.92;Моховая ул., 3
1681;Дом, где в 1845-1869 гг. жил композитор Даргомыжский А.С.;115387.93;94878.76;Моховая ул., 30
1682;Тенишевское коммерческое училище, где учились: в 1900-1907 гг. - поэт Мандельштам О.Э., в 1900-1908 гг. - литературовед Жирмунский В.М., в 1911-1917 гг. - писатель Набоков В.В.;115320.81;94813.38;Моховая ул., 33-35
1683;Особняк Безобразовой;115404.97;94812.05;Моховая ул., 34
1684;Особняк Н.С. Строганова (со службами);115402.37;94790.69;Моховая ул., 36, лит. А
1685;Церковь Праведников Симеона Богоприимца и Анны Пророчицы;115404.35;94607.26;"Моховая ул., 48; Белинского ул., 4"
1686;Ограда;115409.60;94562.59;"Моховая ул., 48; Белинского ул., 4"
1687;Часовня;115370.25;94564.22;"Моховая ул., 48; Белинского ул., 4"
1688;Сад;115412.89;94584.35;"Моховая ул., 48; Белинского ул., 4"
1689;Церковь;115398.30;94588.62;"Моховая ул., 48; Белинского ул., 4"
1690;Дом, в котором с 1893 по 1900 г. жил Склифосовский Николай Васильевич;115371.49;95379.49;Моховая ул., 6
1691;Квартиры, в которых в 1892-1897 гг. жил адмирал Макаров Степан Осипович;115328.62;95293.14;Моховая ул., 7, кв. 3, 4, 11, 12, 19, 20 (б. кв. 4 и 5)
