№;Название объекта культурного наследия;Координата, X;Координата, Y;Адрес
712;"Ансамбль ""Новая Голландия""";93554.62;112301.80;"Мойки р. наб., 103; Крюкова канала наб., 1, корп. 1, 8, 12, 16, 17; Адмиралтейского канала наб., 4-а, 4-б"
713;Дом Воронцовой М.В. (дворец Великой княгини Ксении Александровны);93310.50;112298.44;Мойки р. наб., 106
714;Демидовский дом призрения трудящихся;93352.04;112205.31;Мойки р. наб., 108
715;Доходный дом Шретера;93440.26;112095.51;Мойки р. наб., 112
716;Особняк Шретера;93452.03;112058.68;"Мойки р. наб., 114; Писарева ул., 2"
717;Дом Волконских;94851.56;114037.35;Мойки р. наб., 12
718;Дом Баташовых со служебным флигелем;93426.05;111971.04;Мойки р. наб., 120
719;Дворец Великого князя Алексея Александровича;93349.55;111933.70;"Мойки р. наб., 122; Английский пр., 2; Писарева ул."
720;Капелла Придворная певческая;94724.55;114028.44;"Мойки р. наб., 20; Большая Конюшенная ул., 11"
721;Дом П.Ф. Скрипицына;94580.15;113960.15;Мойки р. наб., 30, лит. А
722;Типография Министерства внутренних дел;94559.64;113983.99;"Мойки р. наб., 32; Волынский пер., 2"
723;Дом Аракчеева А.А.;94822.07;113895.95;"Мойки р. наб., 35; Зимней канавки наб., 5"
724;Училище при реформатских церквях;94472.46;113998.69;Мойки р. наб., 38, лит. А
725;Воспитательный дом Императорский;94037.68;113931.60;"Мойки р. наб., 48-54; Гороховая ул., 18; Казанская ул., 3"
726;Дом, где в 1912-1918 гг. жил основатель оркестра русских народных инструментов Андреев В.В.;93809.47;113495.60;"Мойки р. наб., 64; Гривцова пер., 1"
727;Дом Кочубея П.А. (Военного ведомства);94033.77;113715.98;Мойки р. наб., 67
728;Дом, где в первой половине XIX в. размещалась Российско-Американская компания. Здесь в 1820-х гг. жили декабристы Бестужев-Марлинский А.А. и Рылеев К.Ф.;93681.33;113239.06;Мойки р. наб., 72
729;"Здание Торгового дома ""Эсдерс и Схеффальс""";93992.18;113632.58;"Мойки р. наб., 73; Гороховая ул., 15"
730;Дом Монферрана О. (Ратькова-Рожнова Я.В.) Здесь в 1836-1858 гг. жил архитектор Монферран О.;93602.22;112923.88;"Мойки р. наб., 86-88; Прачечный пер., 2"
731;Дом И.Г. Чернышева (графа А.П. Шувалова) с флигелем, службами и оградой;93608.80;112876.89;"Мойки р. наб., 90; Прачечный пер., 1"
732;Дворец Юсуповых;93458.39;112808.78;"Мойки р. наб., 94; Декабристов ул., 21"
733;Доходный дом В.А. Шретера;93405.65;112067.35;Мойки р. наб., д. 112, лит. А
734;Особняк Пущиных;94836.49;114006.56;Мойки р. наб., д. 14, лит. Б
735;Особняк А.И. Эбелинг;94953.38;113995.92;Мойки р. наб., д. 25, лит. А
736;Доходный дом С.Д.Башмакова;94371.97;114026.61;Мойки р. наб., д. 42, лит. А
737;Дом, где в 1861-1862 гг. жил писатель и литературный критик Чернышевский Н.Г.;93270.70;115552.51;Московская Большая ул., 6
738;Памятник Ленину В.И.;84953.68;114169.00;Московская пл.
739;Дом культуры им. Ильича завода “Электросила”;88541.36;114060.10;Московский  пр., 152, лит. А
740;Монастырь Воскресенский Новодевичий;90040.58;114198.45;Московский пр., 100
741;Заводоуправление Товарищества Петербургского вагоностроительного завода;88989.05;113906.54;Московский пр., 115, лит. А
742;"Слесарно-сборная мастерская Петербургского товарищества вагоностроительного завода синдиката вагоностроительных заводов ""Продвагон""";89144.24;113621.95;Московский пр., 115, лит. В
743;Здание малярной мастерской Санкт-Петербургского вагоностроительного завода;89050.73;113626.63;"Московский пр., 115; Заставская ул., 40 (корпус 12)"
744;Парк Победы Московский;86740.67;114488.04;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.
745;Памятник химику Менделееву Д.И.;92297.64;113817.15;Московский пр., 19
746;Дом, где в 1893-1907 гг. работал химик Менделеев Д.И.;92244.89;113705.58;Московский пр., 19, корп. 1
747;Жилой дом палаты мер и весов. Здесь в 1897-1907 гг. жил и работал химик Менделеев Д.И.;92285.12;113788.19;Московский пр., 19, корп. 4
748;Жилые дома Ленсовета (2 здания);85404.51;114106.55;Московский пр., 206, лит. А, 208, лит. А
749;Дом Советов;84958.37;114347.62;Московский пр., 212
750;Институт Технологический;92302.80;113927.60;"Московский пр., 26; Загородный пр., 49"
751;Памятник деятелю российского и международного социал-демократического движения, философу Плеханову Г.В.;92203.56;113886.85;"Московский пр., 26; Загородный пр., 49"
752;"Станция метро ""Технологический институт"" (с перронным залом)";92106.48;113888.88;Московский пр., 28, лит. А
753;Дом Вольного экономического общества;91852.95;113810.57;"Московский пр., 33; 4-я Красноармейская ул., 1"
754;Здание Фрунзенского универмага;91318.38;113963.64;Московский пр., 60/129, лит. А, Б
755;Скотопригонный двор;91081.41;113836.07;Московский пр., 65
756;Дом подполковника Брюна с флигелями и сквером в 1-м дворе;93034.40;113750.32;Московский пр., 7
757;Жилой дом;90377.42;113855.19;Московский пр., 79
758;Дом Киселевской;92995.94;113884.61;Московский пр., 8
759;Ночлежный дом в память А.Е. Прокофьева;89856.95;113908.87;Московский пр., 87, лит. А
760;Институт инженеров путей сообщения;92960.37;113781.44;Московский пр., 9
761;Комплекс построек акционерного общества “Просвещение” Н.С. Цетлина и А. Мейера;89744.95;113715.55;Московский пр., 93, лит. А, Б, В
762;Здание школы;90390.07;113953.99;Московский пр., 96, лит. А, за исключением помещений 9-Н (6-12), 12-Н (8)
763;Ворота триумфальные Московские;89352.38;113946.98;Московский пр., в створе Лиговского проспекта
764;Пожарное депо;89273.57;114018.35;Московский пр., д. 116, литера А
765;Комплекс зданий Императорского военно-сиротского дома (Константиновского военного училища);92438.67;113735.25;Московский пр., д. 17, литеры А1, А3, А4, А5, А6, Б, Ж, З, К, М, Н1, Н2, Н3, Н4, Н5, Н6
766;Столб верстовой;91588.74;113856.67;Московский пр., на углу 7-ой Красноармейской ул.
767;Столб верстовой;89481.68;113921.97;Московский пр., на углу Ташкентской ул.
768;Столб верстовой;92593.85;113824.75;Московский пр., у Обуховского моста
769;Здания Общества торговцев рыбного рынка;92927.38;113896.80;Московский проспект, дом 10-12, литеры А, Б, В, Г, Д, М
770;Памятник государственному деятелю Кирову С.М.;82311.87;115477.21;Московское шоссе, 13
771;Скульптуры быков (две);82310.08;115564.95;Московское шоссе, 13
772;Особняк Штифтер;95188.05;115323.40;Моховая ул., 15
773;Дом, в котором жили: Глинка Михаил Иванович в 1851 г. и более 20 лет (начиная с 1854 г.) Стасов Владимир Васильевич;94966.83;115422.50;Моховая ул., 26, кв.12 и флигель
774;"Жилой дом Страхового общества ""Россия"" с садом и оградами";94941.02;115303.88;Моховая ул., 27-29
775;Дом, где в 1857-1891 гг. жил писатель Гончаров И.А.;95367.30;115313.20;Моховая ул., 3
776;Дом, где в 1845-1869 гг. жил композитор Даргомыжский А.С.;94881.48;115411.56;Моховая ул., 30
777;Тенишевское коммерческое училище, где учились: в 1900-1907 гг. - поэт Мандельштам О.Э., в 1900-1908 гг. - литературовед Жирмунский В.М., в 1911-1917 гг. - писатель Набоков В.В.;94813.08;115310.25;Моховая ул., 33-35
778;Особняк Безобразовой;94810.97;115410.59;Моховая ул., 34
779;Особняк Н.С. Строганова (со службами);94787.69;115402.91;Моховая ул., 36, лит. А
780;Церковь Праведников Симеона Богоприимца и Анны Пророчицы;94584.33;115406.97;"Моховая ул., 48; Белинского ул., 4"
781;Дом, в котором с 1893 по 1900 г. жил Склифосовский Николай Васильевич;95379.49;115371.49;Моховая ул., 6
782;Квартиры, в которых в 1892-1897 гг. жил адмирал Макаров Степан Осипович;95292.79;115323.38;Моховая ул., 7, кв. 3, 4, 11, 12, 19, 20 (б. кв. 4 и 5)
783;Особняк З.Д. Мишукова (М.И. Алексеевой);95153.91;114033.43;Мошков пер., 2, лит. А
784;Съезжий дом и пожарная команда Рождественской части;93745.76;117047.12;Мытнинская ул., 3, лит. А
785;Дом П.М. Станового;93939.16;117147.63;Мытнинская ул., 5/2, лит. А
786;Октябрьская наб.;90503.35;120660.63;На правом берегу р. Невы, от устья р. Утки до Финляндского ж.д. моста
787;Терраса у завода им. Ломоносова;88299.31;121035.52;На р. Неве по пр. Обуховской Обороны
788;Гидрокомплекс б. Охтинского порохового завода;98368.52;123234.39;На реке Охте по ул. Коммуны
789;Дом Сутугиных;92972.44;113092.43;"наб. кан. Грибоедова 106; пр. Римского-Корсакова, 12"
790;Дом И. Вальха, в котором в 1816-1818 годах жил А.С. Грибоедов;93046.74;113021.23;"наб. кан. Грибоедова, 104; пр. Римского-Корсакова, 25; Средняя Подъяческая ул., 15"
791;Жилой дом с флигелем;92281.31;111883.77;наб. кан. Грибоедова, 174, лит. А
792;Здание Школы народного искусства;94864.99;114483.68;наб. кан. Грибоедова, 2, лит. А
793;Здание Пробирной палаты и Пробирного училища;93645.12;113788.95;"наб. кан. Грибоедова, 51; Казанская ул., 28"
794;"Особняк М.А. Горчакова (здание товарищества нефтяного производства ""Братья Нобель"")";94452.68;114404.49;наб. кан. Грибоедова, 6/2, лит. А
795;Дом Н. Семенова;93140.87;113653.70;"наб. кан. Грибоедова, 62; Садовая ул., 45; Кокушкин пер., 2"
796;Дом С.О. Китнера;93280.72;113272.47;наб. кан. Грибоедова, 79/23, лит. А
797;Дом А.Н. Бебутовой;92385.48;112802.51;"наб. Крюкова кан., 27, лит. А; пер. Макаренко, 10, лит. А"
798;Дом К.Л. Дворжак;92350.41;112931.37;"наб. Крюкова кан., 28; наб. р. Фонтанки, 141"
799;Особняк А.М. Бракгаузен (Л.К. Эстеррейха);94342.25;111987.24;наб. Лейтенанта Шмидта, 3, лит. А
800;Здание Балтийского вокзала;91041.36;112778.80;наб. Обводного кан., 120, лит. Б
801;Особняк П.П.Михеева;91317.87;113499.65;наб. Обводного кан., 151
802;Особняк Т.Дылева (с палисадником);91311.12;113429.61;наб. Обводного кан., 155, лит. А
803;Дом просветительных учреждений в память 19 февраля 1861 года;91343.29;112522.78;наб. Обводного кан., 181, лит. А
804;Главное производственное здание Российской бумагопрядильной мануфактуры;91372.67;111286.17;наб. Обводного кан., 223-225, лит. С
805;Дом Клейнмихель со службой, участком парка и оградой;98766.75;111440.57;Наб. р. Крестовки, 12
806;Больница для душевнобольных св. Николая Чудотворца (с садом);93173.37;111603.52;наб. р. Мойки, 126, лит. А, Б, Д
807;"Здание ресторана ""Донон"" (""Павел Донон, Бетан и Татары"") с садом";94663.56;114037.37;наб. р. Мойки, 24, лит. Б
808;Жилой дом Государственного контролера;93684.76;113192.41;"наб. р. Мойки, 74, лит. А (за исключением помещений: 4-Н, 6-Н, 7-Н, 8-Н, 9-Н, 10-Н, 11-Н, 13-Н, 14-Н; квартир №№ 56, 60, 62, 64, 65, 67, 68, 69, 70, 75)"
809;Воронинские бани;93608.34;113029.20;наб. р. Мойки, 82, лит. В
810;Комплекс зданий Военной Коллегии (Главного военно-судного управления и Николаевского кадетского корпуса);93448.57;112712.77;"наб. р. Мойки, 96; ул. Декабристов, 23"
811;Дом К.Я.Маевского;92629.60;113883.58;наб. р. Фонтанки, 110, лит. А, Б
812;"Дом жилой И.Форша. Здесь в музыкальном салоне Ю.Ф.Абаза состоялось первое исполнение оперы П.И.Чайковского ""Евгений Онегин""";94130.01;115217.53;наб. р. Фонтанки, 23, лит. А
813;Дом Г.Г.Елисеева;93460.63;114966.06;наб. р. Фонтанки, 64, лит. А
814;Бывш. 2 дома Олсуфьевых;94940.43;115065.58;наб. р. Фонтанки, д. 14
815;Подворье Успенского Староладожского женского монастыря;90941.62;111463.34;"Нарвский пр., 1; Старо-Петергофский пр., 29"
816;"Мемориал в память обороны города в 1941-1944 гг. - ""Зеленый пояс Славы Ленинграда"". ""Кировский вал"": обелиск, пилоны (два)";81950.41;106569.70;Народного Ополчения пр., у ж.д. ст. Лигово
817;Дом Веймара;94410.35;113696.11;Невский пр., 10
818;"Дом, где в помещении конторы и редакции легального большевистского журнала ""Вестник жизни"" в 1906-1907 гг. бывал Ленин Владимир Ильич (кв. 16 и 38)";93941.31;116008.62;Невский пр., 102
819;Дом, где в 1906 г. находилась явочная квартира РСДРП (б);93886.66;116070.02;Невский пр., 108
820;"Дом фирмы ""Юнкер и Ко"" (с дворовыми флигелями)";94396.74;113721.68;Невский пр., 12
821;Дом Чаплиных;94312.47;113774.03;"Невский пр., 13; Большая Морская ул., 9"
822;Школа;94397.29;113752.14;Невский пр., 14
823;Дома Галунова И.В.;93632.99;116830.71;"Невский пр., 142; 2-я Советская ул., 27; Бакунина пр., 2"
824;Доходный дом Александро-Невской Лавры;93094.47;117326.51;Невский пр., 153, лит. А
825;Дворец Строгановых;94250.50;113989.02;"Невский пр., 17; Мойки р. наб., 46"
826;Дом Котомина К.Б.;94355.57;113878.31;"Невский пр., 18; Большая Морская ул., 12; Мойки р. наб., 57"
827;Дом Голландской церкви;94331.24;114019.24;"Невский пр., 20; Мойки р. наб., 44; Большая Конюшенная ул., 31"
828;Бывший дом Мертенса (фасады);94235.98;114067.76;Невский пр., 21
829;Храм евангелическо-лютеранский Апостола Петра;94387.63;114175.05;"Невский пр., 22, 24; Большая Конюшенная ул., 14; Малая Конюшенная ул., 9"
830;Дом священнослужителей Казанского собора;94222.51;114138.28;"Невский пр., 25; Казанская ул., 1"
831;"Дом компании ""Зингер""";94277.25;114285.44;"Невский пр., 28; Грибоедова кан. наб., 21"
832;Серебряные ряды;94154.52;114467.74;Невский пр., 29-31
833;Дом Союза городов;94362.86;113543.11;Невский пр., 3
834;Храм римско-католический Святой Екатерины;94296.53;114471.23;"Невский пр., 32, 34; Итальянская ул., 5"
835;Портик Перинной линии;94109.61;114506.26;Невский пр., 35
836;"Здания акционерного общества ""Европейская гостиница""";94280.84;114535.44;"Невский пр., 36; Михайловская ул., 1; Итальянская ул., 7"
837;Дворец Аничков и Кабинет Его Императорского Величества;93920.64;115069.98;"Невский пр., 39; Островского пл.; Фонтанки р. наб., 31, 33"
838;Дворец Белосельских-Белозерских;93927.56;115334.56;"Невский пр., 41; Фонтанки р. наб., 42"
839;"Дом Страхового Общества ""Россия""";94191.89;114688.63;Невский пр., 44
840;Дом Московского купеческого банка;94187.40;114723.03;Невский пр., 46
841;"Здание, где размещался ресторан ""К.П.Палкин""";93876.56;115481.76;"Невский пр., 47; Владимирский пр., 1"
842;Пассаж;94225.74;114767.59;"Невский пр., 48; Итальянская ул., 19"
843;Дом купца А.М.Ушакова;93863.93;115544.86;"Невский пр., 49; Владимирский пр., 2"
844;Международный коммерческий банк;94135.76;114994.72;Невский пр., 58
845;Санкт-Петербургский Азовский коммерческий банк;94090.92;115066.30;Невский пр., 62
846;"Дом, где в меблированных комнатах ""Париж"" у Вацлава Вацлавовича Воровского в 1905 г. Владимир Ильич Ленин часто бывал по партийным делам";94049.22;115187.63;"Невский пр., 66; Караванная ул., 28; Фонтанки р. наб., 29"
847;Дом Сухозанета И.О.;94005.81;115398.03;Невский пр., 70
848;Дом Протасовых (М.В.Воейковой);93998.80;115426.53;Невский пр., 72, лит. А
849;"Дом, где в квартире Мартова Л. в середине февраля 1897 г. под руководством Ленина Владимира Ильича состоялось совещание членов петербургского ""Союза борьбы за освобождение рабочего класса""";93754.93;116049.97;"Невский пр., 77; Пушкинская ул., 1"
850;Дом Вавельберга М.И. (Банк Санкт-Петербургский торговый), 1911-1912 гг., арх. Перетяткович М.М., ск. Дитрих Л.А., ск. Козлов В.В.;94349.11;113634.64;"Невский пр., 7-9; Малая Морская ул., 1-3"
851;Дом Перкина И. (Сафоновых, Сан-Галли Ф.К.);94414.84;113677.05;Невский пр., 8
852;Депо Николаевской железной дороги;92245.39;116474.46;Невский пр., 85, лит. БО, ДД
853;Конторский корпус Николаевского вокзала;93529.80;116263.41;Невский пр., 85, лит. З
854;Дом Петрово-Соловово (Юсуповой З.Н.);93957.68;115667.56;Невский пр., 86
855;"Дом, где в меблированных комнатах ""Сан-Ремо"" в 1905 г. жил Ленин В.И.";93903.91;115768.13;Невский пр., 90
856;Большой Гостиный двор;93985.99;114558.80;"Невский просп., 35; Садовая ул., 17; Ломоносова ул., 4; Перинная линия"
857;Церковь армянская святой Екатерины;94205.46;114640.36;Невский просп., 40, 42
858;Дом Бурцева с помещением для выставок;94655.51;115744.45;Некрасова ул., 10
859;Подворье Иоанно-Предтеченского Леушинского монастыря с церковью апостола Иоанна Богослова и часовней;94582.39;116300.57;Некрасова ул., 31
860;Дом М.Г. Баркона;94627.9921;116319.5952;Некрасова ул., 42, лит. А
861;Дом П.М. Кумовича;94618.8925;116411.9395;Некрасова ул., 46, лит. А
862;Жилой комплекс Первого Бассейного товарищества квартирохозяев с территорией и оградами по ул. Некрасова и Греческому пр.;94654.07;116657.92;"Некрасова ул., 58, 60; Греческий пр., 10, 12; Виленский пер., 17; Фонтанная ул., 3, 5"
863;Кладбище Пискаревское;101064.05;119586.75;Непокоренных пр., 72
864;Братская могила участников Великой Октябрьской социалистической революции и гражданской войны;92794.00;112788.58;Никольская пл. (сквер)
865;Собор Николо-Богоявленский (Морской);92799.88;112840.19;Никольская пл., 1/3
866;Дом Ф. Моровица;92815.11;113004.50;"Никольская пл., 6; наб. кан. Грибоедова, 125"
867;Дом, где в 1894-1917 гг. проводились собрания рабочих-марксистов;86509.19;121840.07;Ново-Александровская ул., 23
868;Дом  призрения Германского благотворительного общества имени императора Вильгельма I;100966.95;115766.13;Новороссийская ул., 46, корп. 2, лит. А
869;Петропавловская крепость;95865.44;113716.69;о.Заячий, Петропавловская крепость
870;Набережные и мосты Крюкова канала;92864.81;112685.48;Оба берега от р. Фонтанки до Адмиралтейского канала
871;Церковь Воскресения Христова;91187.28;113391.67;Обводного кан. наб., 116
872;Санкт-Петербургская духовная семинария;92282.88;117497.36;Обводного кан. наб., 15, 17, 19
873;Измайловские провиантские магазины;91326.48;112924.14;Обводного кан. наб., 173
874;Проходная контора Российской бумагопрядильной мануфактуры;91341.15;111276.82;Обводного кан. наб., 223-225
875;Хлебные амбары Александро-Невской лавры (5 корпусов);92441.26;118061.36;"Обводного кан. наб., 3, лит. А; Обводного кан. наб., 5, лит. А, Б, В; Обводного кан. наб., 5а, лит. А"
876;Духовная академия;92389.95;117868.47;Обводного кан. наб., 7, 7а, 7б, 11
877;Газгольдер Главного газового завода Общества столичного освещения;91585.64;114588.96;Обводного кан. наб., 74
878;Александро-Невское Антониевское духовное училище;92435.31;117741.32;Обводного кан. наб., 9, лит. И
879;Дом, где находилась Смоленская (Корниловская) вечерне-воскресная школа для рабочих Невской заставы;89691.32;120512.93;"Обуховской Обороны пр., 107, 107-б; Ткачей ул., 2"
880;Церковь Пресвятой Троицы;86277.75;122541.80;Обуховской Обороны пр., 235
881;"Провиантский склад (""Провиантский магазейн"") на Рожке с домом смотрителя и прилегающей территорией";91205.28;119334.91;Обуховской Обороны пр., 26, 28
882;Памятник В.И. Ленину;90841.01;119552.65;Обуховской Обороны пр., 51
883;Элеватор акционерного общества Санкт-Петербургских товарных складов, холодильников и элеваторов;92326.03;118177.09;Обуховской Обороны пр., д. 7, лит. А
884;Мельница-пакгауз акционерного общества Санкт-Петербургских товарных складов, холодильников и элеваторов;92177.34;118132.61;Обуховской Обороны пр., д. 7, лит. В
885;Элеватор мукомольного завода им. В.И.Ленина;91750.12;117597.56;Обуховской Обороны пр., д. 7, лит. Ж
886;Памятник революционеру Володарскому В.;87709.65;121302.53;Обуховской Обороны пр., у Володарского моста
887;Здание вокзала со служебным корпусом с прилегающей территорией;105853.20;112885.30;Озерки ж.д. ст.
888;Братская могила воинов Советской Армии, погибших в годы Великой Отечественной войны 1941 - 1945 гг.;91506.76;120171.18;Октябрьская наб., 14
889;Братская могила мирных жителей, погибших в период героической обороны Ленинграда 1941-1944 гг.;91536.88;120151.58;Октябрьская наб., 14
890;Особняк Веге Г.И.;90706.85;120666.75;Октябрьская наб., 38
891;"Усадьба Чернова А.И. ""Сосновка""";87653.92;122076.90;Октябрьская наб., 72
892;"Рабочий городок при ГРЭС ""Красный Октябрь"" (ТЭЦ № 5)";87180.74;122502.76;"Октябрьская наб., 90, к.1, лит.И, к.2, лит.Д, к.3, лит.А, к.4, лит.Р; Октябрьская наб., 92, к.1, лит.К, к.2, лит.Е, к.3, лит.Б; Октябрьская наб., 94, к.1, лит.Л, к.2, лит.Ж, к.3, лит.В; Октябрьская наб., 96, к.1, лит.М, к.2, лит.А, к.3, лит.А"
893;Комплекс построек бумажной фабрики Варгуниных;88639.77;121316.69;"Октябрьская наб., д. 54, лит. В; Б, пом. 1-Н(1-17,20,21,24-27), 2-Н(1-10), 3-Н(1-20); лит. Б, пом. 1-Н(34); лит.С, пом.1-Н(35),2-н(8(в части, прим.к ч.п. 2,7,10)),5-Н(29),6-Н(зап.ч. со вторым светом); вост.ч.лит. Д; лит.О,П; лит.И,4-Н(1,2,11-14),5-Н(1-3)"
894;Комплекс построек бывшей Больницы сестер милосердия св. Георгия Российского общества Красного Креста;96859.70;115093.85;"Оренбургская ул., 4; Пироговская наб., 7"
895;"Усадьба Лопухиной Е.И. (Левашовых, Вяземских) ""Осиновая Роща""";114247.81;110121.09;Осиновая Роща, квартал 138 Осинорощенского лесничества
896;Сквер на площади Островского;93982.17;114900.90;Островского пл.
897;Театр Александринский;93830.36;114865.53;Островского пл.
898;Библиотека Публичная;93996.95;114819.80;"Островского пл., 1, 3; Невский пр., 37; Садовая ул., 16, Крылова пер., 4"
899;Дом Общества Московско-Виндаво-Рыбинской железной дороги, 1911-1912 гг., арх. Гречанников А.А.;93757.85;114958.84;Островского пл., 2
900;Собственный дом архитектора Н.П.Басина;93867.42;114791.57;"Островского пл., 5; Крылова пер., 7"
901;Общество кредитное городское Санкт-Петербургское с дворовым флигелем;93833.54;114778.34;Островского пл., 7
902;Набережная Адмиралтейского канала;93650.10;112191.90;от Ново-Адмиралтейского канала до Крюкова канала
903;Ново-Адмиралтейский канал;93663.57;111925.13;От р. Невы до наб. р. Мойки
904;Набережные и мосты реки Мойки;94071.11;113794.74;От р. Фонтанки до Английского пр. (левый берег) и Крюкова канала (правый берег)
905;Набережная Обводного канала;92065.12;117225.13;От Шлиссельбургского моста до Московской ж.д.
906;"Усадьба Шуваловых (Воронцовой-Дашковой Е.А.) ""Парголово""";109988.98;112950.42;Парголово 2-е
907;Две братские могилы советских воинов, погибших в годы Великой Отечественной войны 1941-1945 гг.;107811.64;109774.83;Парголово ж.д. ст., Северное кладбище
908;Дом А.Г. Демидова (К.К. Шмидта);93699.54;113581.37;пер. Гривцова, 3, лит. А
909;Дом Болотникова;93625.06;113257.23;пер. Пирогова, 3, лит. А
910;Дача;110115.02;110213.07;Первого Мая ул., 31, лит. А
911;Дача Ю. Буш;106582.89;113104.65;Первомайская ул., 2
912;Дом К.К.Шмидта;93534.85;117201.03;Перекупной пер., 12/13, лит. А
913;Дом Ф.Ф.Лумберга;93471.63;117235.15;Перекупной пер., 9, лит. А
914;Особняк Новинских (комплекс с территорией в границах ограды);98524.68;112615.55;Песочная наб., 10
915;Усадьба Л.А. Ильина;98327.21;112267.19;"Песочная наб., 24; Даля ул., 2"
916;Вяземский сад;98541.77;112744.67;"Песочная наб.; Вяземский пер."
917;Дача Фаберже К.Г. (А.К.);114232.73;108960.36;Песочное шоссе, 14
918;Мемориальный комплекс в честь героической обороны полуострова Ханко в 1941 году;95009.94;115185.31;Пестеля ул., 11
919;Дом, где жили композиторы: в 1871-1872 гг. - Мусоргский М.П., в 1871-1872 гг. - Римский-Корсаков Н.А., в 1865 г. - Чайковский П.И.;94958.31;115204.53;Пестеля ул., 11
920;Дом Я.В.Ротькова-Рожнова;94978.55;115250.60;Пестеля ул., 13-15, лит. А, Б
921;Соляной городок. Здесь в 1870 г. проводилась Всероссийская промышленная выставка;95177.61;115050.74;"Пестеля ул., 2; Фонтанки р. наб., 10; Гангутская ул., 1; Соляной пер., 9, 11"
922;Дом, где жили поэты: в 1831-1833 гг. - Гнедич Н.И., в 1833-1834 гг. - Пушкин А.С.;94966.31;115108.12;Пестеля ул., 5
923;Дворец Великого князя Николая Николаевича с доходным домом;96162.22;114478.78;Петровская наб., 2
924;Домик Петра I;96202.70;114560.59;Петровская наб., 6
925;Кировский мост;95707.26;114369.75;Петровская наб., правый берег р. Невы, от Петроградской наб. до Троицкого моста
926;Набережная императора Петра Великого (ныне Петровская);96158.48;114610.68;Петровская наб., правый берег р. Невы, от Петроградской наб. до Троицкого моста
927;Петровский парк;96397.23;111635.85;Петровский остров
928;Дом ветеранов сцены им. Савиной М.Г.;97236.71;110396.16;"Петровский пр., 13; ул. Савиной, 1"
929;Комплекс построек товарищества канатной фабрики И. Гота;96867.07;110721.80;Петровский пр., 20, лит. В, Ж, И1, Р, Я
930;"Солодовня пивовареного завода ""Новая Бавария""";97175.99;110841.20;Петровский пр., 9
931;Особняк В.И.Гота;96911.89;110909.02;Петровский проспект, дом 20, корпус 3, литера А
932;Конторское здание пивоваренного завода «Бавария»;97200.65;110724.78;Петровский проспект, дом 9, литера А
933;Набережная Петроградская;97115.36;114783.32;Петроградская наб. - левый берег р. Большой Невки, от Петровской наб. до р. Карповки наб.
934;Училищный дом им. Петра Великого;96481.98;114837.49;Петроградская наб., 2
935;Особняк Шредера К.И.;97187.71;114731.01;Петроградская наб., 32
936;Казармы Гренадерского полка;97745.00;114434.78;"Петроградская наб., 44; Чапаева ул., 24-30; Казарменный пер., 1; Карповки р. наб., 2"
937;"Крейсер ""Аврора"", возвестивший 25 октября (7 ноября) 1917 г. начало Октябрьской революции";96470.04;114944.36;Петроградская наб., у дома 2
938;Дом, в котором в 1902-1929 и 1933-1936 годах жил историк Н.П. Лихачев;97365.36;112370.21;Петрозаводская ул., д. 7, лит. А
939;Здание Института инженеров Гражданского воздушного флота;80368.26;112820.15;Пилотов ул., д. 18, корпус 4, литера А
940;Памятник писателю Грибоедову А.С.;92678.67;114662.69;Пионерская пл.
941;"Производственные корпуса трикотажной фабрики ""Красное знамя""";97048.3789;111981.4561;Пионерская ул., 53, лит. А
942;"ТЭЦ фабрики ""Красное знамя""";97089.91;111806.69;Пионерская ул., 55
943;Здание Дворянского полка;96842.71;111935.89;Пионерская ул., д. 28, лит. А
944;Дом, где жил Глинка Михаил Иванович в 1836-1837 гг. и в 1840-1841 гг.;93505.75;113069.95;"Пирогова пер., 8; Фонарный пер., 3 (кв. 1, 38 - б. кв. 1)"
945;Особняк и заводоуправление лесопильного завода и льноджутовой мануфактуры Лебедева Д.Н.;97403.10;114971.55;Пироговская наб., 17
946;"Особняк и заводоуправление Механического завода ""Людвиг Нобель"" с зимним садом";97584.67;114980.59;Пироговская наб., 19
947;Дом и особняк полковника Ф.Г. Козлянинова с садом, палисадником, оградой;93303.26;112094.99;Писарева ул., 10-12
948;Особняк А.Ф. Евментьева;93221.36;112070.00;Писарева ул., 16, лит. А
949;Декорационный магазин и зал Дирекции Императорских театров (исторические фасадные стены);93081.91;112066.94;Писарева ул., д. 20, лит. А
950;Водонапорная башня Охтинской бумагопрядильной мануфактуры;96736.70;118774.78;Пискаревский пр., 3, центральная часть лит. Д
951;Городская больница им. Петра Великого с парком (тридцать три корпуса);99551.53;120302.57;Пискаревский пр., 47
952;Станция метро “Балтийская” (с перронным залом);91080.38;112832.54;пл. Балтийского вокзала, 1, лит. А
953;Здание Коммунального банка;94221.74;114590.81;пл. Искусств
954;Съезжий дом 4-й Адмиралтейской (Коломенской) части;92180.01;111755.02;"пл. Репина, 1/201; наб. кан. Грибоедова, 139"
955;Станция метро “Нарвская” (с перронным  залом);90398.68;111452.11;пл. Стачек, 2, лит. А
956;Дом В.А. Вонлярлярского;93946.10;112379.59;пл. Труда, 2, лит. А
